SystemComponentId,SystemSerdesId,LineComponentId,LineSerdesId,TraceLoss,ConnectionType,PolaritySwap
0,72,1,0,8.18,rx,Yes
0,72,1,1,7.93,tx,No
0,73,1,4,8.17,rx,No
0,73,1,5,7.87,tx,Yes
0,74,1,1,7.84,rx,No
0,74,1,4,7.6,tx,Yes
0,75,1,3,7.81,rx,No
0,75,1,0,7.57,tx,Yes
0,76,1,5,7.93,rx,Yes
0,76,1,2,7.68,tx,Yes
0,77,1,2,8.15,rx,No
0,77,1,6,7.76,tx,No
0,78,1,7,7.77,rx,No
0,78,1,7,7.99,tx,Yes
0,79,1,6,8.01,rx,Yes
0,79,1,3,8.03,tx,No
0,80,2,2,8.06,rx,Yes
0,80,2,7,7.34,tx,Yes
0,81,2,7,7.68,rx,No
0,81,2,3,7.27,tx,No
0,82,2,6,7.79,rx,No
0,82,2,6,7.29,tx,No
0,83,2,5,7.61,rx,No
0,83,2,0,7.35,tx,Yes
0,84,2,3,7.49,rx,Yes
0,84,2,2,7.23,tx,No
0,85,2,1,7.35,rx,No
0,85,2,4,7.59,tx,No
0,86,2,4,7.61,rx,Yes
0,86,2,1,7.78,tx,Yes
0,87,2,0,7.65,rx,No
0,87,2,5,7.55,tx,No
0,88,3,3,6.86,rx,Yes
0,88,3,7,6.92,tx,No
0,89,3,4,7.15,rx,Yes
0,89,3,3,6.96,tx,Yes
0,90,3,5,6.86,rx,No
0,90,3,4,6.69,tx,No
0,91,3,7,6.83,rx,Yes
0,91,3,0,6.57,tx,No
0,92,3,1,6.82,rx,Yes
0,92,3,2,6.69,tx,No
0,93,3,6,7.02,rx,No
0,93,3,6,6.75,tx,Yes
0,94,3,0,6.87,rx,No
0,94,3,1,6.87,tx,Yes
0,95,3,2,7.2,rx,Yes
0,95,3,5,6.89,tx,Yes
0,96,4,2,7.0,rx,Yes
0,96,4,4,6.57,tx,Yes
0,97,4,6,6.95,rx,No
0,97,4,0,6.56,tx,No
0,98,4,1,6.55,rx,No
0,98,4,5,6.7,tx,Yes
0,99,4,3,6.64,rx,Yes
0,99,4,1,6.94,tx,No
0,100,4,7,6.84,rx,No
0,100,4,6,6.54,tx,Yes
0,101,4,0,6.92,rx,No
0,101,4,2,6.32,tx,Yes
0,102,4,5,6.84,rx,No
0,102,4,3,6.61,tx,Yes
0,103,4,4,6.84,rx,Yes
0,103,4,7,6.67,tx,No
0,104,5,3,6.3,rx,Yes
0,104,5,2,6.33,tx,No
0,105,5,5,6.5,rx,No
0,105,5,7,6.56,tx,No
0,106,5,4,6.66,rx,Yes
0,106,5,3,6.69,tx,Yes
0,107,5,7,6.43,rx,Yes
0,107,5,0,6.24,tx,No
0,108,5,6,6.67,rx,No
0,108,5,6,6.47,tx,Yes
0,109,5,1,6.48,rx,Yes
0,109,5,4,6.36,tx,No
0,110,5,0,6.52,rx,Yes
0,110,5,5,6.54,tx,No
0,111,5,2,6.62,rx,No
0,111,5,1,6.73,tx,Yes
0,112,6,6,6.46,rx,No
0,112,6,1,6.7,tx,Yes
0,113,6,2,6.74,rx,No
0,113,6,0,6.27,tx,No
0,114,6,3,6.31,rx,Yes
0,114,6,2,6.18,tx,Yes
0,115,6,1,6.22,rx,No
0,115,6,5,6.43,tx,Yes
0,116,6,7,6.51,rx,No
0,116,6,4,6.48,tx,Yes
0,117,6,4,6.52,rx,Yes
0,117,6,7,6.3,tx,No
0,118,6,0,6.6,rx,No
0,118,6,3,6.3,tx,Yes
0,119,6,5,6.51,rx,No
0,119,6,6,6.26,tx,Yes
0,120,7,0,6.47,rx,No
0,120,7,7,6.27,tx,No
0,121,7,4,6.46,rx,Yes
0,121,7,6,6.06,tx,Yes
0,122,7,3,6.17,rx,Yes
0,122,7,0,5.93,tx,No
0,123,7,5,6.22,rx,No
0,123,7,3,6.27,tx,Yes
0,124,7,1,6.19,rx,Yes
0,124,7,2,6.04,tx,No
0,125,7,7,6.21,rx,Yes
0,125,7,4,6.04,tx,No
0,126,7,2,6.58,rx,Yes
0,126,7,1,6.27,tx,Yes
