SystemComponentId,SystemSerdesId,LineComponentId,LineSerdesId,TraceLoss,ConnectionType,PolaritySwap
1,498,1,0,12.01,tx,No
1,498,1,0,11.44,rx,No
0,11,1,1,5.47,tx,Yes
0,10,1,1,6.09,rx,No
1,496,1,2,12.07,tx,Yes
1,496,1,2,11.62,rx,No
0,9,1,3,5.67,tx,No
0,8,1,3,6.15,rx,No
1,510,1,4,11.97,tx,Yes
1,510,1,4,12.02,rx,Yes
0,7,1,5,5.73,tx,No
0,6,1,5,6.34,rx,Yes
1,508,1,6,12.04,tx,Yes
1,508,1,6,12.24,rx,Yes
0,5,1,7,5.93,tx,No
0,4,1,7,6.39,rx,Yes
1,483,2,0,10.69,tx,Yes
1,482,2,0,10.1,rx,No
0,26,2,1,5.97,tx,No
0,26,2,1,6.49,rx,No
1,481,2,2,10.82,tx,No
1,480,2,2,10.28,rx,No
0,24,2,3,6.26,tx,Yes
0,24,2,3,6.53,rx,No
1,495,2,4,10.72,tx,No
1,494,2,4,10.67,rx,Yes
0,22,2,5,6.31,tx,Yes
0,22,2,5,6.72,rx,Yes
1,493,2,6,10.78,tx,No
1,492,2,6,10.84,rx,No
0,20,2,7,6.5,tx,Yes
0,20,2,7,6.8,rx,No
1,499,3,0,10.39,tx,Yes
1,499,3,0,9.76,rx,Yes
0,10,3,1,7.43,tx,No
0,11,3,1,7.73,rx,Yes
1,497,3,2,10.44,tx,No
1,497,3,2,9.95,rx,Yes
0,8,3,3,7.62,tx,Yes
0,9,3,3,7.78,rx,Yes
1,511,3,4,10.34,tx,No
1,511,3,4,10.29,rx,Yes
0,6,3,5,7.67,tx,Yes
0,7,3,5,7.96,rx,Yes
1,509,3,6,10.4,tx,No
1,509,3,6,10.41,rx,No
0,4,3,7,7.86,tx,Yes
0,5,3,7,7.99,rx,No
1,482,4,0,9.05,tx,No
1,483,4,0,8.42,rx,Yes
0,27,4,1,7.64,tx,Yes
0,27,4,1,8.13,rx,Yes
1,480,4,2,9.19,tx,Yes
1,481,4,2,8.61,rx,Yes
0,25,4,3,7.93,tx,No
0,25,4,3,8.17,rx,Yes
1,494,4,4,9.05,tx,Yes
1,495,4,4,8.95,rx,Yes
0,23,4,5,7.98,tx,No
0,23,4,5,8.34,rx,Yes
1,492,4,6,9.1,tx,Yes
1,493,4,6,9.06,rx,No
0,21,4,7,8.18,tx,No
0,21,4,7,8.37,rx,No
1,506,5,0,8.57,tx,Yes
1,506,5,0,8.26,rx,Yes
0,3,5,1,8.96,tx,No
0,2,5,1,9.6,rx,Yes
1,504,5,2,8.62,tx,Yes
1,504,5,2,8.45,rx,No
0,1,5,3,9.15,tx,No
0,0,5,3,9.65,rx,No
1,502,5,4,8.85,tx,No
1,502,5,4,8.5,rx,No
0,15,5,5,9.49,tx,Yes
0,14,5,5,9.52,rx,No
1,500,5,6,8.9,tx,Yes
1,500,5,6,8.69,rx,No
0,13,5,7,9.68,tx,No
0,12,5,7,9.56,rx,No
1,491,6,0,7.2,tx,No
1,490,6,0,6.93,rx,Yes
0,18,6,1,9.18,tx,Yes
0,18,6,1,10.05,rx,Yes
1,489,6,2,7.32,tx,No
1,488,6,2,7.11,rx,No
0,16,6,3,9.45,tx,Yes
0,16,6,3,10.07,rx,No
1,487,6,4,7.51,tx,Yes
1,486,6,4,7.14,rx,No
0,30,6,5,9.83,tx,No
0,30,6,5,9.92,rx,No
1,485,6,6,7.58,tx,No
1,484,6,6,7.33,rx,No
0,28,6,7,10.03,tx,Yes
0,28,6,7,9.96,rx,No
1,507,7,0,6.9,tx,No
1,507,7,0,6.51,rx,Yes
0,2,7,1,10.63,tx,Yes
0,3,7,1,11.22,rx,Yes
1,505,7,2,6.95,tx,No
1,505,7,2,6.7,rx,No
0,0,7,3,10.82,tx,Yes
0,1,7,3,11.28,rx,No
1,503,7,4,7.14,tx,Yes
1,503,7,4,6.74,rx,Yes
0,14,7,5,11.21,tx,No
0,15,7,5,11.18,rx,Yes
1,501,7,6,7.21,tx,No
1,501,7,6,6.93,rx,Yes
0,12,7,7,11.39,tx,Yes
0,13,7,7,11.23,rx,Yes
1,490,8,0,5.54,tx,Yes
1,491,8,0,5.19,rx,Yes
0,19,8,1,10.91,tx,No
0,19,8,1,11.64,rx,Yes
1,488,8,2,5.63,tx,Yes
1,489,8,2,5.38,rx,No
0,17,8,3,11.12,tx,No
0,17,8,3,11.69,rx,No
1,486,8,4,5.87,tx,No
1,487,8,4,5.41,rx,Yes
0,31,8,5,11.47,tx,Yes
0,31,8,5,11.56,rx,Yes
1,484,8,6,5.94,tx,Yes
1,485,8,6,5.59,rx,Yes
0,29,8,7,11.7,tx,No
0,29,8,7,11.61,rx,Yes
1,464,9,0,10.23,tx,No
1,468,9,0,9.9,rx,Yes
0,43,9,1,3.62,tx,No
0,44,9,1,4.52,rx,Yes
1,468,9,2,10.22,tx,No
1,464,9,2,9.89,rx,Yes
0,47,9,3,3.76,tx,Yes
0,40,9,3,4.37,rx,Yes
1,472,9,4,10.08,tx,No
1,472,9,4,10.09,rx,Yes
0,35,9,5,4.13,tx,No
0,32,9,5,4.41,rx,Yes
1,476,9,6,10.22,tx,Yes
1,476,9,6,10.22,rx,Yes
0,39,9,7,4.27,tx,Yes
0,36,9,7,4.41,rx,Yes
1,449,10,0,9.29,tx,No
1,452,10,0,8.79,rx,Yes
0,56,10,1,4.46,tx,Yes
0,60,10,1,5.14,rx,Yes
1,453,10,2,9.14,tx,Yes
1,448,10,2,8.77,rx,Yes
0,60,10,3,4.59,tx,No
0,56,10,3,4.99,rx,Yes
1,457,10,4,9.27,tx,No
1,460,10,4,9.05,rx,Yes
0,48,10,5,4.72,tx,Yes
0,52,10,5,5.11,rx,Yes
1,461,10,6,9.12,tx,Yes
1,456,10,6,9.04,rx,Yes
0,52,10,7,4.85,tx,No
0,48,10,7,4.97,rx,Yes
1,465,11,0,8.67,tx,No
1,469,11,0,8.08,rx,Yes
0,40,11,1,5.57,tx,No
0,45,11,1,6.06,rx,Yes
1,469,11,2,8.53,tx,Yes
1,465,11,2,8.27,rx,Yes
0,44,11,3,5.7,tx,No
0,41,11,3,6.11,rx,Yes
1,473,11,4,8.59,tx,Yes
1,473,11,4,8.52,rx,No
0,32,11,5,5.69,tx,No
0,33,11,5,6.25,rx,No
1,477,11,6,8.44,tx,Yes
1,477,11,6,8.68,rx,Yes
0,36,11,7,5.96,tx,Yes
0,37,11,7,6.23,rx,Yes
1,450,12,0,7.47,tx,Yes
1,453,12,0,6.97,rx,Yes
0,57,12,1,6.22,tx,No
0,61,12,1,6.68,rx,Yes
1,454,12,2,7.6,tx,No
1,449,12,2,7.15,rx,Yes
0,61,12,3,6.2,tx,Yes
0,57,12,3,6.73,rx,Yes
