Port# , Lane# , PRE3 , PRE2 , PRE , MAIN , POST , POST2
1,1,0,0,-14,108,-20,0
1,2,0,0,-27,135,0,0
1,3,0,0,-13,125,-23,0
1,4,0,0,-8,149,-13,0
1,5,0,3,-18,119,-27,0
1,6,0,0,-14,147,0,0
1,7,0,5,-27,114,-14,0
1,8,0,4,-8,96,-8,0
2,1,0,0,-18,131,-18,0
2,2,0,0,-6,107,-12,0
2,3,0,0,-23,139,0,0
2,4,0,0,-9,148,-4,0
2,5,0,0,-23,144,0,0
2,6,0,0,-13,138,0,0
2,7,0,2,-20,123,-23,0
2,8,0,0,-18,102,-12,0
3,1,0,0,-13,124,-20,0
3,2,0,0,-14,150,0,0
3,3,0,0,-16,122,-23,0
3,4,0,0,0,149,-12,0
3,5,0,5,-13,123,-25,0
3,6,0,0,-5,155,-5,0
3,7,0,0,-16,122,-23,0
3,8,0,2,0,152,-4,0
4,1,0,0,-9,154,-5,0
4,2,0,0,-7,113,-7,0
4,3,0,0,-21,135,-8,0
4,4,0,0,-22,139,0,0
4,5,0,0,-12,137,-12,0
4,6,0,0,-13,146,-4,0
4,7,0,0,-11,133,-18,0
4,8,0,2,-15,122,-28,0
5,1,0,2,-7,137,-21,0
5,2,0,2,-15,132,-12,0
5,3,0,6,-11,135,-15,0
5,4,0,0,-18,129,-15,0
5,5,0,0,-17,140,-4,0
5,6,0,3,-20,120,-17,0
5,7,0,0,-23,145,0,0
5,8,0,6,-23,115,0,0
6,1,0,5,-11,134,-18,0
6,2,0,0,-27,135,0,0
6,3,0,2,-23,139,0,0
6,4,0,0,-18,131,-18,0
6,5,0,0,-8,145,-8,0
6,6,0,0,-18,128,-15,0
6,7,0,0,-10,111,-10,0
6,8,0,3,-5,115,-27,0
7,1,0,2,-12,135,-12,0
7,2,0,0,-27,135,0,0
7,3,0,0,-4,149,-9,0
7,4,0,0,-21,135,-4,0
7,5,0,0,0,159,-9,0
7,6,0,0,-16,123,-23,0
7,7,0,0,0,155,-13,0
7,8,0,4,-10,95,-19,0
8,1,0,0,-19,131,-12,0
8,2,0,4,-23,109,-26,0
8,3,0,0,-5,152,-5,0
8,4,0,5,-19,116,-22,0
8,5,0,0,-4,152,-4,0
8,6,0,5,-19,116,-22,0
8,7,0,5,-7,134,-21,0
8,8,0,0,-15,119,-29,0
9,1,0,0,-14,125,-17,0
9,2,0,0,0,140,-8,0
9,3,0,0,-13,123,-25,0
9,4,0,0,-9,152,0,0
9,5,0,0,-17,115,-29,0
9,6,0,0,-8,149,-13,0
9,7,0,3,-18,112,-23,0
9,8,0,0,0,138,0,0
10,1,0,2,-21,113,-7,0
10,2,0,0,-18,143,0,0
10,3,0,0,-13,126,-23,0
10,4,0,0,0,157,-5,0
10,5,0,0,-23,139,0,0
10,6,0,0,0,146,-16,0
10,7,0,3,-19,118,-22,0
10,8,0,0,0,168,0,0
11,1,0,0,-10,115,-10,0
11,2,0,0,-9,153,0,0
11,3,0,0,-14,129,-18,0
11,4,0,0,-8,145,-8,0
11,5,0,0,-15,134,-18,0
11,6,0,0,-5,153,-5,0
11,7,0,0,-20,136,-12,0
11,8,0,0,-4,133,-4,0
12,1,0,0,-8,145,-8,0
12,2,0,0,-4,150,-4,0
12,3,0,0,-23,139,0,0
12,4,0,0,0,150,-12,0
12,5,0,0,-13,144,-4,0
12,6,0,0,-21,135,-8,0
12,7,0,0,-10,132,-26,0
12,8,0,0,-6,129,-26,0
13,1,0,0,-14,147,0,0
13,2,0,0,0,163,-5,0
13,3,0,0,-17,139,-4,0
13,4,0,0,-14,148,0,0
13,5,0,6,-20,133,-8,0
13,6,0,0,-16,137,-8,0
13,7,0,0,-26,137,-4,0
13,8,0,0,-6,116,-23,0
14,1,0,0,-13,144,-4,0
14,2,0,0,-19,146,0,0
14,3,0,0,-5,152,-5,0
14,4,0,0,-13,144,-4,0
14,5,0,0,-21,136,-8,0
14,6,0,0,-11,133,-18,0
14,7,0,0,-4,146,-12,0
14,8,0,0,-17,108,-3,0
15,1,0,0,-12,138,-12,0
15,2,0,0,-16,128,0,0
15,3,0,0,-20,132,-12,0
15,4,0,0,-20,133,-8,0
15,5,0,0,-4,142,-15,0
15,6,0,0,-13,128,-26,0
15,7,0,0,-7,135,-18,0
15,8,0,1,-13,100,-23,0
16,1,0,0,-8,147,-12,0
16,2,0,0,-27,135,0,0
16,3,0,0,-10,130,-21,0
16,4,0,0,-22,130,-18,0
16,5,0,0,-23,132,-15,0
16,6,0,2,-27,119,-20,0
16,7,0,0,-14,109,0,0
16,8,0,3,-11,89,-20,0
17,1,0,0,-16,121,-25,0
17,2,0,0,-11,125,-7,0
17,3,0,0,-23,141,0,0
17,4,0,0,-15,154,0,0
17,5,0,0,-20,122,-20,0
17,6,0,0,-10,132,-26,0
17,7,0,0,-21,91,0,0
17,8,0,0,-11,99,-11,0
18,1,0,0,-12,126,0,0
18,2,0,0,0,163,0,0
18,3,0,0,-21,135,-4,0
18,4,0,0,0,161,0,0
18,5,0,0,-10,129,-26,0
18,6,0,0,0,157,-5,0
18,7,0,2,-9,125,-25,0
18,8,0,0,-4,142,-15,0
19,1,0,0,-18,122,-14,0
19,2,0,0,-4,147,-8,0
19,3,0,0,-23,144,0,0
19,4,0,0,-14,154,0,0
19,5,0,1,-15,122,-30,0
19,6,0,0,-5,158,-5,0
19,7,0,0,-19,119,-25,0
19,8,0,0,0,146,-16,0
20,1,0,6,-21,131,-4,0
20,2,0,0,-5,157,0,0
20,3,0,0,-14,149,-5,0
20,4,0,0,-4,152,-4,0
20,5,0,0,-12,143,-12,0
20,6,0,0,-4,139,-18,0
20,7,0,0,-14,106,0,0
20,8,0,0,-5,153,-5,0
21,1,0,0,0,157,-5,0
21,2,0,0,-11,121,0,0
21,3,0,0,-18,144,0,0
21,4,0,0,-8,145,-8,0
21,5,0,0,-4,142,-15,0
21,6,0,0,-11,133,-18,0
21,7,0,0,-17,117,-10,0
21,8,0,5,-10,111,-10,0
22,1,0,0,-11,136,-22,0
22,2,0,2,-12,135,-12,0
22,3,0,0,-4,152,-4,0
22,4,0,0,-9,148,-4,0
22,5,0,2,-12,138,-12,0
22,6,0,0,-18,126,-18,0
22,7,0,0,-4,148,-9,0
22,8,0,0,-4,151,-9,0
23,1,0,0,-13,146,-9,0
23,2,0,0,-16,139,-12,0
23,3,0,0,-9,154,-5,0
23,4,0,0,-20,133,-8,0
23,5,0,0,-4,142,-15,0
23,6,0,0,-14,148,0,0
23,7,0,0,-9,154,-5,0
23,8,0,0,-21,106,0,0
24,1,0,0,-8,145,-8,0
24,2,0,0,-12,143,-12,0
24,3,0,0,-19,131,-12,0
24,4,0,2,-10,131,-26,0
24,5,0,0,-18,143,0,0
24,6,0,0,-14,131,-24,0
24,7,0,0,-4,126,-4,0
24,8,0,0,-12,99,-24,0
25,1,0,4,-21,123,-14,0
25,2,0,0,-15,155,0,0
25,3,0,3,-9,121,-29,0
25,4,0,0,-5,157,0,0
25,5,0,0,-25,114,-22,0
25,6,0,0,-4,152,-4,0
25,7,0,0,-10,104,0,0
