,INDEX,VD,,"OSFP Port#","OSFP Lane#",VD,"Port Group","Rx Ramon3","Rx Core","Physical Rx Lane","Rx 2x2 Mux","Post-Mux Rx Lane","Tx Ramon3","Tx Core","Physical Tx Lane","Tx 8x8 Mux","Post-Mux Tx Lane",,"Rx Trace Loss","Tx Trace Loss",,Pre3,Pre2,Pre,Main,Post,Post2
,,,,(1-128),(1-8),"(0,1,2,3)",(0-7),"(0,1)",(0-63),(0-7),"(-,x)",(0-7),"(0,1)",(0-63),(0-7),"(-,x)",(0-7),,(dB),(dB),,(-8 to 0),(0 to 16),(-40 to 0),(0 to 168),(-64 to 0),(-16 to 16)
,1,R1.0,,1,1,2,0,1,62,2,,2,1,62,2,-,2,,12.3,12.9,,0,4,-24,132,-8,0
,2,R0.0,,1,2,0,0,0,1,2,,2,0,1,3,x,2,,6.7,6.1,,0,0,-8,104,-4,0
,3,R1.1,,1,3,3,0,1,62,0,x,4,1,62,0,x,4,,12.5,12.9,,0,4,-24,132,-8,0
,4,R0.1,,1,4,1,0,0,1,0,x,4,0,1,1,x,4,,6.8,6.3,,0,0,-8,104,-4,0
,5,R1.0,,1,5,2,0,1,63,6,x,2,1,63,6,x,2,,12.9,12.8,,0,4,-24,132,-8,0
,6,R0.0,,1,6,0,0,0,0,6,x,2,0,0,7,x,2,,7.0,6.4,,0,0,-8,104,-4,0
,7,R1.1,,1,7,3,0,1,63,4,,4,1,63,4,-,4,,13.1,12.9,,0,4,-24,132,-8,0
,8,R0.1,,1,8,1,0,0,0,4,,4,0,0,5,x,4,,7.0,6.6,,0,0,-8,104,-4,0
,9,R1.0,,2,1,2,0,1,60,2,,2,1,60,3,x,2,,10.9,11.5,,0,2,-16,120,-4,0
,10,R0.0,,2,2,0,0,0,3,2,,2,0,3,2,-,2,,7.2,6.6,,0,0,-8,104,-4,0
,11,R1.1,,2,3,3,0,1,60,0,x,4,1,60,1,x,4,,11.1,11.7,,0,2,-16,120,-4,0
,12,R0.1,,2,4,1,0,0,3,0,x,4,0,3,0,x,4,,7.2,6.9,,0,0,-8,104,-4,0
,13,R1.0,,2,5,2,0,1,61,6,x,2,1,61,7,x,2,,11.5,11.6,,0,2,-16,120,-4,0
,14,R0.0,,2,6,0,0,0,2,6,x,2,0,2,6,x,2,,7.4,7.0,,0,0,-8,104,-4,0
,15,R1.1,,2,7,3,0,1,61,4,,4,1,61,5,x,4,,11.7,11.6,,0,2,-16,120,-4,0
,16,R0.1,,2,8,1,0,0,2,4,,4,0,2,4,-,4,,7.5,7.2,,0,0,-8,104,-4,0
,17,R1.0,,3,1,2,0,1,62,3,,3,1,62,3,-,3,,10.5,11.2,,0,2,-16,116,-4,0
,18,R0.0,,3,2,0,0,0,1,3,,3,0,1,2,x,3,,8.4,8.1,,0,2,-16,112,-4,0
,19,R1.1,,3,3,3,0,1,62,1,x,5,1,62,1,x,5,,10.8,11.3,,0,2,-16,116,-4,0
,20,R0.1,,3,4,1,0,0,1,1,x,5,0,1,0,x,5,,8.5,8.3,,0,2,-16,112,-4,0
,21,R1.0,,3,5,2,0,1,63,7,x,3,1,63,7,x,3,,11.1,11.2,,0,2,-16,116,-4,0
,22,R0.0,,3,6,0,0,0,0,7,x,3,0,0,6,x,3,,8.7,8.4,,0,2,-16,112,-4,0
,23,R1.1,,3,7,3,0,1,63,5,,5,1,63,5,-,5,,11.3,11.2,,0,2,-16,116,-4,0
,24,R0.1,,3,8,1,0,0,0,5,,5,0,0,4,x,5,,8.7,8.6,,0,2,-16,112,-4,0
,25,R1.0,,4,1,2,0,1,60,3,,3,1,60,2,x,3,,9.1,9.8,,0,2,-16,112,-4,0
,26,R0.0,,4,2,0,0,0,3,3,,3,0,3,3,-,3,,8.9,8.3,,0,2,-12,112,-4,0
,27,R1.1,,4,3,3,0,1,60,1,x,5,1,60,0,x,5,,9.3,9.9,,0,2,-16,112,-4,0
,28,R0.1,,4,4,1,0,0,3,1,x,5,0,3,1,x,5,,8.9,8.6,,0,2,-12,112,-4,0
,29,R1.0,,4,5,2,0,1,61,7,x,3,1,61,6,x,3,,9.7,9.8,,0,2,-16,112,-4,0
,30,R0.0,,4,6,0,0,0,2,7,x,3,0,2,7,x,3,,9.1,8.7,,0,2,-12,112,-4,0
,31,R1.1,,4,7,3,0,1,61,5,,5,1,61,4,x,5,,9.9,9.9,,0,2,-16,112,-4,0
,32,R0.1,,4,8,1,0,0,2,5,,5,0,2,5,-,5,,9.1,8.9,,0,2,-12,112,-4,0
,33,R1.1,,5,1,3,0,1,63,2,x,6,1,63,2,x,6,,9.0,9.3,,0,2,-12,112,-4,0
,34,R0.1,,5,2,1,0,0,0,2,x,6,0,0,3,x,6,,10.4,9.7,,0,2,-16,112,-4,0
,35,R1.0,,5,3,2,0,1,63,0,,0,1,63,0,-,0,,9.2,9.4,,0,2,-12,112,-4,0
,36,R0.0,,5,4,0,0,0,0,0,,0,0,0,1,x,0,,10.4,9.9,,0,2,-16,112,-4,0
,37,R1.1,,5,5,3,0,1,62,6,,6,1,62,6,-,6,,9.2,9.6,,0,2,-12,112,-4,0
,38,R0.1,,5,6,1,0,0,1,6,,6,0,1,7,x,6,,10.3,10.3,,0,2,-16,112,-4,0
,39,R1.0,,5,7,2,0,1,62,4,x,0,1,62,4,x,0,,9.4,9.7,,0,2,-12,112,-4,0
,40,R0.0,,5,8,0,0,0,1,4,x,0,0,1,5,x,0,,10.3,10.5,,0,2,-16,112,-4,0
,41,R1.1,,6,1,3,0,1,61,2,x,6,1,61,3,x,6,,7.6,7.9,,0,0,-8,100,0,0
,42,R0.1,,6,2,1,0,0,2,2,x,6,0,2,2,x,6,,10.9,9.9,,0,2,-16,112,-4,0
,43,R1.0,,6,3,2,0,1,61,0,,0,1,61,1,x,0,,7.8,8.0,,0,0,-8,100,0,0
,44,R0.0,,6,4,0,0,0,2,0,,0,0,2,0,-,0,,10.9,10.2,,0,2,-16,112,-4,0
,45,R1.1,,6,5,3,0,1,60,6,,6,1,60,7,x,6,,7.8,8.2,,0,0,-8,100,0,0
,46,R0.1,,6,6,1,0,0,3,6,,6,0,3,6,-,6,,10.7,10.6,,0,2,-16,112,-4,0
,47,R1.0,,6,7,2,0,1,60,4,x,0,1,60,5,x,0,,8.0,8.3,,0,0,-8,100,0,0
,48,R0.0,,6,8,0,0,0,3,4,x,0,0,3,4,x,0,,10.8,10.8,,0,2,-16,112,-4,0
,49,R1.1,,7,1,3,0,1,63,3,x,7,1,63,3,x,7,,7.2,7.6,,0,0,-8,104,-4,0
,50,R0.1,,7,2,1,0,0,0,3,x,7,0,0,2,x,7,,12.1,11.5,,0,2,-12,120,-4,0
,51,R1.0,,7,3,2,0,1,63,1,,1,1,63,1,-,1,,7.4,7.6,,0,0,-8,104,-4,0
,52,R0.0,,7,4,0,0,0,0,1,,1,0,0,0,x,1,,12.1,11.7,,0,2,-12,120,-4,0
,53,R1.1,,7,5,3,0,1,62,7,,7,1,62,7,-,7,,7.4,7.8,,0,0,-8,104,-4,0
,54,R0.1,,7,6,1,0,0,1,7,,7,0,1,6,x,7,,12.0,12.0,,0,2,-12,120,-4,0
,55,R1.0,,7,7,2,0,1,62,5,x,1,1,62,5,x,1,,7.6,7.9,,0,0,-8,104,-4,0
,56,R0.0,,7,8,0,0,0,1,5,x,1,0,1,4,x,1,,12.1,12.2,,0,2,-12,120,-4,0
