INDEX,VD,Group,,OSFP Port#,OSFP Lane#,Ramon3,VD,Port Group,Serdes Core,Physical Lane,Rx 2x2 Mux,Logical Lane
1,R1.1,0,,1,1,1,1,7,63,4,,4
2,R0.1,0,,1,2,0,1,0,0,4,,4
3,R1.0,0,,1,3,1,0,7,63,6,x,2
4,R0.0,0,,1,4,0,0,0,0,6,x,2
5,R1.1,0,,1,5,1,1,7,62,0,x,4
6,R0.1,0,,1,6,0,1,0,1,0,x,4
7,R1.0,0,,1,7,1,0,7,62,2,,2
8,R0.0,0,,1,8,0,0,0,1,2,,2
9,R1.1,0,,2,1,1,1,7,61,4,,4
10,R0.1,0,,2,2,0,1,0,2,4,,4
11,R1.0,0,,2,3,1,0,7,61,6,x,2
12,R0.0,0,,2,4,0,0,0,2,6,x,2
13,R1.1,0,,2,5,1,1,7,60,0,x,4
14,R0.1,0,,2,6,0,1,0,3,0,x,4
15,R1.0,0,,2,7,1,0,7,60,2,,2
16,R0.0,0,,2,8,0,0,0,3,2,,2
17,R1.1,0,,3,1,1,1,7,63,5,,5
18,R0.1,0,,3,2,0,1,0,0,5,,5
19,R1.0,0,,3,3,1,0,7,63,7,x,3
20,R0.0,0,,3,4,0,0,0,0,7,x,3
21,R1.1,0,,3,5,1,1,7,62,1,x,5
22,R0.1,0,,3,6,0,1,0,1,1,x,5
23,R1.0,0,,3,7,1,0,7,62,3,,3
24,R0.0,0,,3,8,0,0,0,1,3,,3
25,R1.1,0,,4,1,1,1,7,61,5,,5
26,R0.1,0,,4,2,0,1,0,2,5,,5
27,R1.0,0,,4,3,1,0,7,61,7,x,3
28,R0.0,0,,4,4,0,0,0,2,7,x,3
29,R1.1,0,,4,5,1,1,7,60,1,x,5
30,R0.1,0,,4,6,0,1,0,3,1,x,5
31,R1.0,0,,4,7,1,0,7,60,3,,3
32,R0.0,0,,4,8,0,0,0,3,3,,3
33,R1.0,0,,5,1,1,0,7,62,4,x,0
34,R0.0,0,,5,2,0,0,0,1,4,x,0
35,R1.1,0,,5,3,1,1,7,62,6,,6
36,R0.1,0,,5,4,0,1,0,1,6,,6
37,R1.0,0,,5,5,1,0,7,63,0,,0
38,R0.0,0,,5,6,0,0,0,0,0,,0
39,R1.1,0,,5,7,1,1,7,63,2,x,6
40,R0.1,0,,5,8,0,1,0,0,2,x,6
41,R1.0,0,,6,1,1,0,7,60,4,x,0
42,R0.0,0,,6,2,0,0,0,3,4,x,0
43,R1.1,0,,6,3,1,1,7,60,6,,6
44,R0.1,0,,6,4,0,1,0,3,6,,6
45,R1.0,0,,6,5,1,0,7,61,0,,0
46,R0.0,0,,6,6,0,0,0,2,0,,0
47,R1.1,0,,6,7,1,1,7,61,2,x,6
48,R0.1,0,,6,8,0,1,0,2,2,x,6
49,R1.0,0,,7,1,1,0,7,62,5,x,1
50,R0.0,0,,7,2,0,0,0,1,5,x,1
51,R1.1,0,,7,3,1,1,7,62,7,,7
52,R0.1,0,,7,4,0,1,0,1,7,,7
53,R1.0,0,,7,5,1,0,7,63,1,,1
54,R0.0,0,,7,6,0,0,0,0,1,,1
55,R1.1,0,,7,7,1,1,7,63,3,x,7
56,R0.1,0,,7,8,0,1,0,0,3,x,7
57,R1.0,0,,8,1,1,0,7,60,5,x,1
58,R0.0,0,,8,2,0,0,0,3,5,x,1
59,R1.1,0,,8,3,1,1,7,60,7,,7
60,R0.1,0,,8,4,0,1,0,3,7,,7
61,R1.0,0,,8,5,1,0,7,61,1,,1
62,R0.0,0,,8,6,0,0,0,2,1,,1
63,R1.1,0,,8,7,1,1,7,61,3,x,7
64,R0.1,0,,8,8,0,1,0,2,3,x,7
65,R1.1,0,,9,1,1,1,7,59,4,,4
66,R0.1,0,,9,2,0,1,0,4,4,,4
67,R1.0,0,,9,3,1,0,7,59,0,,0
68,R0.0,0,,9,4,0,0,0,4,0,,0
69,R1.1,0,,9,5,1,1,7,58,4,,4
70,R0.1,0,,9,6,0,1,0,5,4,,4
71,R1.0,0,,9,7,1,0,7,58,0,,0
72,R0.0,0,,9,8,0,0,0,5,0,,0
73,R1.1,0,,10,1,1,1,7,57,4,,4
74,R0.1,0,,10,2,0,1,0,6,4,,4
75,R1.0,0,,10,3,1,0,7,57,0,,0
76,R0.0,0,,10,4,0,0,0,6,0,,0
77,R1.1,0,,10,5,1,1,7,56,4,,4
78,R0.1,0,,10,6,0,1,0,7,4,,4
79,R1.0,0,,10,7,1,0,7,56,0,,0
80,R0.0,0,,10,8,0,0,0,7,0,,0
81,R1.1,0,,11,1,1,1,7,59,5,,5
82,R0.1,0,,11,2,0,1,0,4,5,,5
83,R1.0,0,,11,3,1,0,7,59,1,,1
84,R0.0,0,,11,4,0,0,0,4,1,,1
85,R1.1,0,,11,5,1,1,7,58,5,,5
86,R0.1,0,,11,6,0,1,0,5,5,,5
87,R1.0,0,,11,7,1,0,7,58,1,,1
88,R0.0,0,,11,8,0,0,0,5,1,,1
89,R1.1,0,,12,1,1,1,7,57,5,,5
90,R0.1,0,,12,2,0,1,0,6,5,,5
91,R1.0,0,,12,3,1,0,7,57,1,,1
92,R0.0,0,,12,4,0,0,0,6,1,,1
93,R1.1,0,,12,5,1,1,7,56,5,,5
94,R0.1,0,,12,6,0,1,0,7,5,,5
95,R1.0,0,,12,7,1,0,7,56,1,,1
96,R0.0,0,,12,8,0,0,0,7,1,,1
97,R1.0,0,,13,1,1,0,7,59,6,x,2
98,R0.0,0,,13,2,0,0,0,4,6,x,2
99,R1.1,0,,13,3,1,1,7,59,2,x,6
100,R0.1,0,,13,4,0,1,0,4,2,x,6
101,R1.0,0,,13,5,1,0,7,58,6,x,2
102,R0.0,0,,13,6,0,0,0,5,6,x,2
103,R1.1,0,,13,7,1,1,7,58,2,x,6
104,R0.1,0,,13,8,0,1,0,5,2,x,6
105,R1.0,0,,14,1,1,0,7,57,6,x,2
106,R0.0,0,,14,2,0,0,0,6,6,x,2
107,R1.1,0,,14,3,1,1,7,57,2,x,6
108,R0.1,0,,14,4,0,1,0,6,2,x,6
109,R1.0,0,,14,5,1,0,7,56,6,x,2
110,R0.0,0,,14,6,0,0,0,7,6,x,2
111,R1.1,0,,14,7,1,1,7,56,2,x,6
112,R0.1,0,,14,8,0,1,0,7,2,x,6
113,R1.0,0,,15,1,1,0,7,59,7,x,3
114,R0.0,0,,15,2,0,0,0,4,7,x,3
115,R1.1,0,,15,3,1,1,7,59,3,x,7
116,R0.1,0,,15,4,0,1,0,4,3,x,7
117,R1.0,0,,15,5,1,0,7,58,7,x,3
118,R0.0,0,,15,6,0,0,0,5,7,x,3
119,R1.1,0,,15,7,1,1,7,58,3,x,7
120,R0.1,0,,15,8,0,1,0,5,3,x,7
121,R1.0,0,,16,1,1,0,7,57,7,x,3
122,R0.0,0,,16,2,0,0,0,6,7,x,3
123,R1.1,0,,16,3,1,1,7,57,3,x,7
124,R0.1,0,,16,4,0,1,0,6,3,x,7
125,R1.0,0,,16,5,1,0,7,56,7,x,3
126,R0.0,0,,16,6,0,0,0,7,7,x,3
127,R1.1,0,,16,7,1,1,7,56,3,x,7
128,R0.1,0,,16,8,0,1,0,7,3,x,7
129,R1.1,1,,17,1,1,1,6,55,4,,4
130,R0.1,1,,17,2,0,1,1,8,4,,4
131,R1.0,1,,17,3,1,0,6,55,0,,0
132,R0.0,1,,17,4,0,0,1,8,0,,0
133,R1.1,1,,17,5,1,1,6,54,4,,4
134,R0.1,1,,17,6,0,1,1,9,4,,4
135,R1.0,1,,17,7,1,0,6,54,0,,0
136,R0.0,1,,17,8,0,0,1,9,0,,0
137,R1.1,1,,18,1,1,1,6,53,4,,4
138,R0.1,1,,18,2,0,1,1,10,4,,4
139,R1.0,1,,18,3,1,0,6,53,0,,0
140,R0.0,1,,18,4,0,0,1,10,0,,0
141,R1.1,1,,18,5,1,1,6,52,4,,4
142,R0.1,1,,18,6,0,1,1,11,4,,4
143,R1.0,1,,18,7,1,0,6,52,0,,0
144,R0.0,1,,18,8,0,0,1,11,0,,0
145,R1.1,1,,19,1,1,1,6,55,5,,5
146,R0.1,1,,19,2,0,1,1,8,5,,5
147,R1.0,1,,19,3,1,0,6,55,1,,1
148,R0.0,1,,19,4,0,0,1,8,1,,1
149,R1.1,1,,19,5,1,1,6,54,5,,5
150,R0.1,1,,19,6,0,1,1,9,5,,5
151,R1.0,1,,19,7,1,0,6,54,1,,1
152,R0.0,1,,19,8,0,0,1,9,1,,1
153,R1.1,1,,20,1,1,1,6,53,5,,5
154,R0.1,1,,20,2,0,1,1,10,5,,5
155,R1.0,1,,20,3,1,0,6,53,1,,1
156,R0.0,1,,20,4,0,0,1,10,1,,1
157,R1.1,1,,20,5,1,1,6,52,5,,5
