TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
1,1 2 3 4,1,1,CPLD,/run/devmap/xcvrs/xcvr_ctrl_1/xcvr1_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_1/xcvr1_present,1,0,1,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH0,1,/sys/class/leds/port1_led1:blue:status,/sys/class/leds/port1_led1:yellow:status
1,1 2 3 4,1,1,CPLD,/run/devmap/xcvrs/xcvr_ctrl_1/xcvr1_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_1/xcvr1_present,1,0,1,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH0,2,/sys/class/leds/port1_led2:blue:status,/sys/class/leds/port1_led2:yellow:status
2,1 2 3 4,1,2,CPLD,/run/devmap/xcvrs/xcvr_ctrl_2/xcvr2_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_2/xcvr2_present,1,0,2,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH1,3,/sys/class/leds/port2_led1:blue:status,/sys/class/leds/port2_led1:yellow:status
2,1 2 3 4,1,2,CPLD,/run/devmap/xcvrs/xcvr_ctrl_2/xcvr2_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_2/xcvr2_present,1,0,2,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH1,4,/sys/class/leds/port2_led2:blue:status,/sys/class/leds/port2_led2:yellow:status
3,1 2 3 4,1,3,CPLD,/run/devmap/xcvrs/xcvr_ctrl_3/xcvr3_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_3/xcvr3_present,1,0,3,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH2,5,/sys/class/leds/port3_led1:blue:status,/sys/class/leds/port3_led1:yellow:status
3,1 2 3 4,1,3,CPLD,/run/devmap/xcvrs/xcvr_ctrl_3/xcvr3_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_3/xcvr3_present,1,0,3,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH2,6,/sys/class/leds/port3_led2:blue:status,/sys/class/leds/port3_led2:yellow:status
4,1 2 3 4,1,4,CPLD,/run/devmap/xcvrs/xcvr_ctrl_4/xcvr4_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_4/xcvr4_present,1,0,4,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH3,7,/sys/class/leds/port4_led1:blue:status,/sys/class/leds/port4_led1:yellow:status
4,1 2 3 4,1,4,CPLD,/run/devmap/xcvrs/xcvr_ctrl_4/xcvr4_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_4/xcvr4_present,1,0,4,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH3,8,/sys/class/leds/port4_led2:blue:status,/sys/class/leds/port4_led2:yellow:status
5,1 2 3 4,1,5,CPLD,/run/devmap/xcvrs/xcvr_ctrl_5/xcvr5_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_5/xcvr5_present,1,0,5,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH4,9,/sys/class/leds/port5_led1:blue:status,/sys/class/leds/port5_led1:yellow:status
5,1 2 3 4,1,5,CPLD,/run/devmap/xcvrs/xcvr_ctrl_5/xcvr5_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_5/xcvr5_present,1,0,5,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH4,10,/sys/class/leds/port5_led2:blue:status,/sys/class/leds/port5_led2:yellow:status
6,1 2 3 4,1,6,CPLD,/run/devmap/xcvrs/xcvr_ctrl_6/xcvr6_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_6/xcvr6_present,1,0,6,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH5,11,/sys/class/leds/port6_led1:blue:status,/sys/class/leds/port6_led1:yellow:status
6,1 2 3 4,1,6,CPLD,/run/devmap/xcvrs/xcvr_ctrl_6/xcvr6_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_6/xcvr6_present,1,0,6,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH5,12,/sys/class/leds/port6_led2:blue:status,/sys/class/leds/port6_led2:yellow:status
7,1 2 3 4,1,7,CPLD,/run/devmap/xcvrs/xcvr_ctrl_7/xcvr7_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_7/xcvr7_present,1,0,7,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH6,13,/sys/class/leds/port7_led1:blue:status,/sys/class/leds/port7_led1:yellow:status
7,1 2 3 4,1,7,CPLD,/run/devmap/xcvrs/xcvr_ctrl_7/xcvr7_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_7/xcvr7_present,1,0,7,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH6,14,/sys/class/leds/port7_led2:blue:status,/sys/class/leds/port7_led2:yellow:status
8,1 2 3 4,1,8,CPLD,/run/devmap/xcvrs/xcvr_ctrl_8/xcvr8_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_8/xcvr8_present,1,0,8,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH7,15,/sys/class/leds/port8_led1:blue:status,/sys/class/leds/port8_led1:yellow:status
8,1 2 3 4,1,8,CPLD,/run/devmap/xcvrs/xcvr_ctrl_8/xcvr8_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_8/xcvr8_present,1,0,8,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS3_CH7,16,/sys/class/leds/port8_led2:blue:status,/sys/class/leds/port8_led2:yellow:status
9,1 2 3 4,1,9,CPLD,/run/devmap/xcvrs/xcvr_ctrl_9/xcvr9_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_9/xcvr9_present,1,0,9,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS4_CH0,17,/sys/class/leds/port9_led1:blue:status,/sys/class/leds/port9_led1:yellow:status
9,1 2 3 4,1,9,CPLD,/run/devmap/xcvrs/xcvr_ctrl_9/xcvr9_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_9/xcvr9_present,1,0,9,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS4_CH0,18,/sys/class/leds/port9_led2:blue:status,/sys/class/leds/port9_led2:yellow:status
10,1 2 3 4,1,10,CPLD,/run/devmap/xcvrs/xcvr_ctrl_10/xcvr10_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_10/xcvr10_present,1,0,10,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS4_CH1,19,/sys/class/leds/port10_led1:blue:status,/sys/class/leds/port10_led1:yellow:status
10,1 2 3 4,1,10,CPLD,/run/devmap/xcvrs/xcvr_ctrl_10/xcvr10_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_10/xcvr10_present,1,0,10,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS4_CH1,20,/sys/class/leds/port10_led2:blue:status,/sys/class/leds/port10_led2:yellow:status
11,1 2 3 4,1,11,CPLD,/run/devmap/xcvrs/xcvr_ctrl_11/xcvr11_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_11/xcvr11_present,1,0,11,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS4_CH2,21,/sys/class/leds/port11_led1:blue:status,/sys/class/leds/port11_led1:yellow:status
11,1 2 3 4,1,11,CPLD,/run/devmap/xcvrs/xcvr_ctrl_11/xcvr11_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_11/xcvr11_present,1,0,11,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS4_CH2,22,/sys/class/leds/port11_led2:blue:status,/sys/class/leds/port11_led2:yellow:status
12,1 2 3 4,1,12,CPLD,/run/devmap/xcvrs/xcvr_ctrl_12/xcvr12_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_12/xcvr12_present,1,0,12,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS4_CH3,23,/sys/class/leds/port12_led1:blue:status,/sys/class/leds/port12_led1:yellow:status
12,1 2 3 4,1,12,CPLD,/run/devmap/xcvrs/xcvr_ctrl_12/xcvr12_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_12/xcvr12_present,1,0,12,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS4_CH3,24,/sys/class/leds/port12_led2:blue:status,/sys/class/leds/port12_led2:yellow:status
