Port_Speed(mbps),A_CHIP_TYPE,Z_CHIP_TYPE,NUM_LANES,Modulation,FEC,MEDIA_TYPE,A_Interface_Type,Z_Interface_Type
200000,NPU,TRANSCEIVER,1,PAM4,RS544_2N,OPTICAL,SR,
200000,NPU,TRANSCEIVER,1,PAM4,RS544_2N,COPPER,CR,
400000,NPU,TRANSCEIVER,2,PAM4,RS544_2N,OPTICAL,SR2,
400000,NPU,TRANSCEIVER,2,PAM4,RS544_2N,COPPER,CR2,
400000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,OPTICAL,SR4,
400000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,COPPER,CR4,
800000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,OPTICAL,SR4,
800000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,COPPER,CR4,
800000,NPU,TRANSCEIVER,8,PAM4,RS544_2N,OPTICAL,SR8,
800000,NPU,TRANSCEIVER,8,PAM4,RS544_2N,COPPER,CR8,
